recall,precision
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,1.0
0.09,1.0
0.1,1.0
0.11,1.0
0.12,1.0
0.13,1.0
0.14,1.0
0.15,0.994382
0.16,0.994382
0.17,0.994382
0.18,0.991379
0.19,0.991379
0.2,0.991379
0.21,0.991379
0.22,0.991379
0.23,0.988095
0.24,0.988095
0.25,0.985866
0.26,0.985866
0.27,0.985866
0.28,0.983165
0.29,0.980263
0.3,0.97861
0.31,0.97861
0.32,0.97861
0.33,0.97861
0.34,0.97861
0.35,0.97861
0.36,0.97861
0.37,0.977444
0.38,0.977444
0.39,0.977117
0.4,0.977117
0.41,0.977117
0.42,0.977117
0.43,0.973361
0.44,0.973361
0.45,0.973361
0.46,0.973361
0.47,0.971602
0.48,0.970472
0.49,0.96875
0.5,0.96679
0.51,0.96679
0.52,0.964349
0.53,0.964349
0.54,0.963028
0.55,0.962264
0.56,0.954622
0.57,0.947455
0.58,0.940895
0.59,0.938871
0.6,0.935385
0.61,0.934328
0.62,0.932153
0.63,0.924638
0.64,0.921875
0.65,0.916782
0.66,0.909214
0.67,0.907754
0.68,0.897933
0.69,0.895408
0.7,0.888471
0.71,0.879268
0.72,0.877404
0.73,0.863318
0.74,0.846847
0.75,0.841463
0.76,0.824411
0.77,0.816092
0.78,0.806122
0.79,0.797607
0.8,0.777033
0.81,0.76779
0.82,0.731922
0.83,0.708861
0.84,0.687651
0.85,0.674236
0.86,0.662357
0.87,0.631541
0.88,0.60639
0.89,0.543373
0.9,0.500275
0.91,0.45549
